% time spent exploring,episodes,mean 100 episode reward,steps
2,76100,0.1,15295898
2,76200,1.3,15315998
2,76300,-0.1,15336098
2,76400,-2.2,15356198
2,76500,-2.1,15376298
2,76600,-2.7,15396398
2,76700,-6.4,15416498
2,76800,-15.3,15436598
2,76900,-2.4,15456698
2,77000,-2.0,15476798
2,77100,-2.5,15496898
2,77200,-0.6,15516998
2,77300,0.0,15537098
2,77400,-2.5,15557198
2,77500,-1.3,15577298
2,77600,-1.2,15597398
2,77700,-0.2,15617498
2,77800,-4.7,15637598
2,77900,-1.0,15657698
2,78000,-2.8,15677798
2,78100,-1.6,15697898
2,78200,-0.4,15717998
2,78300,-3.1,15738098
2,78400,-1.1,15758198
2,78500,-2.3,15778298
2,78600,-2.7,15798398
2,78700,-1.7,15818498
2,78800,-1.2,15838598
2,78900,-1.9,15858698
2,79000,-0.4,15878798
2,79100,-1.1,15898898
2,79200,-2.8,15918998
2,79300,-1.0,15939098
2,79400,-1.1,15959198
2,79500,-0.7,15979298
2,79600,-1.1,15999398
2,79700,-2.4,16019498
2,79800,-1.2,16039598
2,79900,-1.5,16059698
2,80000,-3.6,16079798
2,80100,-0.8,16099898
2,80200,-2.1,16119998
2,80300,-1.6,16140098
2,80400,-1.1,16160198
2,80500,-0.8,16180298
2,80600,-1.1,16200398
2,80700,-2.1,16220498
2,80800,-1.7,16240598
2,80900,-0.6,16260698
2,81000,-1.1,16280798
2,81100,-1.2,16300898
2,81200,-1.2,16320998
2,81300,-1.3,16341098
2,81400,-1.1,16361198
2,81500,-0.9,16381298
2,81600,-1.6,16401398
2,81700,-1.4,16421498
2,81800,-0.9,16441598
2,81900,-1.3,16461698
2,82000,-2.3,16481798
2,82100,-1.4,16501898
2,82200,-0.7,16521998
2,82300,-0.9,16542098
2,82400,-1.3,16562198
2,82500,-1.6,16582298
2,82600,-0.7,16602398
2,82700,-1.6,16622498
2,82800,-0.6,16642598
2,82900,-1.5,16662698
2,83000,-1.9,16682798
2,83100,-1.5,16702898
2,83200,-1.7,16722998
2,83300,-2.1,16743098
2,83400,-1.4,16763198
2,83500,-1.2,16783298
2,83600,-1.7,16803398
2,83700,-2.3,16823498
2,83800,-1.8,16843598
2,83900,-1.6,16863698
2,84000,-2.5,16883798
2,84100,-1.4,16903898
2,84200,-1.5,16923998
2,84300,-1.5,16944098
2,84400,-0.6,16964198
2,84500,-1.8,16984298
2,84600,-1.5,17004398
2,84700,-2.0,17024498
2,84800,-1.3,17044598
2,84900,-1.4,17064698
2,85000,-2.0,17084798
2,85100,-1.2,17104898
2,85200,-1.9,17124998
2,85300,-3.2,17145098
2,85400,-1.3,17165198
2,85500,-1.3,17185298
2,85600,-1.8,17205398
2,85700,-2.7,17225498
2,85800,-1.7,17245598
2,85900,-1.1,17265698
2,86000,-1.1,17285798
2,86100,-1.6,17305898
2,86200,-1.4,17325998
2,86300,-0.7,17346098
2,86400,-3.3,17366198
2,86500,-0.6,17386298
2,86600,-3.4,17406398
2,86700,-2.3,17426498
2,86800,-1.3,17446598
2,86900,-1.7,17466698
2,87000,-1.7,17486798
2,87100,-1.2,17506898
2,87200,-2.0,17526998
2,87300,-1.7,17547098
2,87400,-1.3,17567198
2,87500,-1.9,17587298
2,87600,-2.1,17607398
2,87700,-12.2,17627498
2,87800,-4.4,17647598
2,87900,-4.8,17667698
2,88000,-1.1,17687798
2,88100,-2.4,17707898
2,88200,-4.7,17727998
2,88300,-0.8,17748098
2,88400,-0.8,17768198
2,88500,-4.4,17788298
2,88600,-0.9,17808398
2,88700,-1.4,17828498
2,88800,-2.5,17848598
2,88900,-1.7,17868698
2,89000,-2.2,17888798
2,89100,-1.3,17908898
2,89200,-3.6,17928998
2,89300,-5.2,17949098
2,89400,-7.1,17969198
2,89500,-2.3,17989298
2,89600,-1.5,18009398
2,89700,-1.3,18029498
2,89800,-1.3,18049598
2,89900,-0.9,18069698
2,90000,-1.7,18089798
2,90100,-1.6,18109898
2,90200,-2.1,18129998
2,90300,-1.9,18150098
